#Digilent WaveForms Logic Acquisition
#Device Name: Discovery2
#Serial Number: DEMO
#Date Time: 2017-05-15 11:25::43.760

Time,SPI-MOSI,SPI-MISO
-0.049999000000000002,hFF,h01
-0.049998000000000001,hFF,h01
-0.049997,hFF,h01
-0.049995999999999999,hFF,h01
-0.049994999999999998,hFF,h01
-0.049993999999999997,hFF,h01
-0.049993000000000003,hFF,h01
-0.049992000000000002,hFF,h01
-0.049991000000000001,hFF,h01
-0.04999,hFF,h01
-0.049988999999999999,hFF,h01
-0.049987999999999998,hFF,h01
-0.049986999999999997,hFF,h01
-0.049986000000000003,hFF,h01
-0.049985000000000002,hFF,h01
-0.049984000000000001,hFF,h01
-0.049983,hFF,h01
-0.049981999999999999,hFF,h01
-0.049980999999999998,hFF,h01
-0.049979999999999997,hFF,h01
-0.049979000000000003,hFF,h01
-0.049978000000000002,hFF,h01
-0.049977000000000001,hFF,h01
-0.049976,hFF,h01
-0.049974999999999999,hFF,h01
-0.049973999999999998,hFF,h01
-0.049972999999999997,hFF,h01
-0.049972000000000003,hFF,h01
-0.049971000000000002,hFF,h01
-0.049970000000000001,hFF,h01
-0.049969,hFF,h01
-0.049967999999999999,hFF,h01
-0.049966999999999998,hFF,h01
-0.049966000000000003,hFF,h01
-0.049965000000000002,hFF,h01
-0.049964000000000001,hFF,h01
-0.049963,hFF,h01
-0.049961999999999999,hFF,h01
-0.049960999999999998,hFF,h01
-0.049959999999999997,hFF,h01
-0.049959000000000003,hFF,h01
-0.049958000000000002,hFF,h01
-0.049957000000000001,hFF,h01
-0.049956,hFF,h01
-0.049954999999999999,hFF,h01
-0.049953999999999998,hFF,h01
-0.049952999999999997,hFF,h01
-0.049952000000000003,hFF,h01
-0.049951000000000002,hFF,h01
-0.049950000000000001,hFF,h01
-0.049949,hFF,h01
-0.049947999999999999,hFF,h01
-0.049946999999999998,hFF,h01
-0.049945999999999997,hFF,h01
-0.049945000000000003,hFF,h01
-0.049944000000000002,hFF,h01
-0.049943000000000001,hFF,h01
-0.049942,hFF,h01
-0.049940999999999999,? 1,? 1
-0.049939999999999998,? 1,? 1
-0.049938999999999997,? 1,? 1
-0.049938000000000003,? 1,? 1
-0.049937000000000002,? 1,? 1
-0.049936000000000001,? 1,? 1
-0.049935,? 1,? 1
-0.049933999999999999,? 1,? 1
-0.049932999999999998,? 1,? 1
-0.049931999999999997,? 1,? 1
-0.049931000000000003,? 1,? 1
-0.049930000000000002,X,X
-0.049929000000000001,X,X
-0.049928,X,X
-0.049926999999999999,X,X
-0.049925999999999998,X,X
-0.049924999999999997,X,X
-0.049924000000000003,X,X
-0.049923000000000002,X,X
-0.049922000000000001,h05,h00
-0.049921,h05,h00
-0.049919999999999999,h05,h00
-0.049918999999999998,h05,h00
-0.049917999999999997,h05,h00
-0.049917000000000003,h05,h00
-0.049916000000000002,h05,h00
-0.049915000000000001,h05,h00
-0.049914,h05,h00
-0.049912999999999999,h05,h00
-0.049911999999999998,h05,h00
-0.049910999999999997,h05,h00
-0.049910000000000003,h05,h00
-0.049909000000000002,h05,h00
-0.049908000000000001,h05,h00
-0.049907,h05,h00
-0.049905999999999999,h05,h00
-0.049904999999999998,h05,h00
-0.049903999999999997,h05,h00
-0.049903000000000003,h05,h00
-0.049902000000000002,h05,h00
-0.049901000000000001,h05,h00
-0.0499,h05,h00
-0.049898999999999999,h05,h00
-0.049897999999999998,h05,h00
-0.049896999999999997,h05,h00
-0.049896000000000003,h05,h00
-0.049895000000000002,h05,h00
-0.049894000000000001,h05,h00
-0.049893,h05,h00
-0.049891999999999999,h05,h00
-0.049890999999999998,h05,h00
-0.049889999999999997,h05,h00
-0.049889000000000003,h05,h00
-0.049888000000000002,h05,h00
-0.049887000000000001,h05,h00
-0.049886,h05,h00
-0.049884999999999999,h05,h00
-0.049883999999999998,h05,h00
-0.049882999999999997,h05,h00
-0.049882000000000003,h05,h00
-0.049881000000000002,h05,h00
-0.049880000000000001,h05,h00
-0.049879,h05,h00
-0.049877999999999999,h05,h00
-0.049876999999999998,h05,h00
-0.049875999999999997,h05,h00
-0.049875000000000003,h05,h00
-0.049874000000000002,h05,h00
-0.049873000000000001,h05,h00
-0.049872,h05,h00
-0.049870999999999999,h05,h00
-0.049869999999999998,h05,h00
-0.049868999999999997,h05,h00
-0.049868000000000003,h05,h00
-0.049867000000000002,h05,h00
-0.049866000000000001,h05,h00
-0.049865,h05,h00
-0.049863999999999999,h05,h00
-0.049862999999999998,h05,h00
-0.049861999999999997,h05,h00
-0.049861000000000003,h05,h00
-0.049860000000000002,h05,h00
-0.049859000000000001,h05,h00
-0.049858,h05,h00
-0.049856999999999999,h05,h00
-0.049855999999999998,h05,h00
-0.049854999999999997,h05,h00
-0.049854000000000002,h05,h00
-0.049853000000000001,h05,h00
-0.049852,h05,h00
-0.049850999999999999,h05,h00
-0.049849999999999998,h05,h00
-0.049848999999999997,hFF,h03
-0.049848000000000003,hFF,h03
-0.049847000000000002,hFF,h03
-0.049846000000000001,hFF,h03
-0.049845,hFF,h03
-0.049843999999999999,hFF,h03
-0.049842999999999998,hFF,h03
-0.049841999999999997,hFF,h03
-0.049841000000000003,hFF,h03
-0.049840000000000002,hFF,h03
-0.049839000000000001,hFF,h03
-0.049838,hFF,h03
-0.049836999999999999,hFF,h03
-0.049835999999999998,hFF,h03
-0.049834999999999997,hFF,h03
-0.049834000000000003,hFF,h03
-0.049833000000000002,hFF,h03
-0.049832000000000001,hFF,h03
-0.049831,hFF,h03
-0.049829999999999999,hFF,h03
-0.049828999999999998,hFF,h03
-0.049827999999999997,hFF,h03
-0.049827000000000003,hFF,h03
-0.049826000000000002,hFF,h03
-0.049825000000000001,hFF,h03
-0.049824,hFF,h03
-0.049822999999999999,hFF,h03
-0.049821999999999998,hFF,h03
-0.049820999999999997,hFF,h03
-0.049820000000000003,hFF,h03
-0.049819000000000002,hFF,h03
-0.049818000000000001,hFF,h03
-0.049817,hFF,h03
-0.049815999999999999,hFF,h03
-0.049814999999999998,hFF,h03
-0.049813999999999997,hFF,h03
-0.049813000000000003,hFF,h03
-0.049812000000000002,hFF,h03
-0.049811000000000001,hFF,h03
-0.04981,hFF,h03
-0.049808999999999999,hFF,h03
-0.049807999999999998,hFF,h03
-0.049806999999999997,hFF,h03
-0.049806000000000003,hFF,h03
-0.049805000000000002,hFF,h03
-0.049804000000000001,hFF,h03
-0.049803,hFF,h03
-0.049801999999999999,hFF,h03
-0.049800999999999998,hFF,h03
-0.049799999999999997,hFF,h03
-0.049799000000000003,hFF,h03
-0.049798000000000002,X,X
-0.049797000000000001,X,X
-0.049796,X,X
-0.049794999999999999,X,X
-0.049793999999999998,X,X
-0.049792999999999997,X,X
-0.049792000000000003,X,X
-0.049791000000000002,X,X
-0.049790000000000001,X,X
-0.049789,X,X
-0.049787999999999999,X,X
-0.049786999999999998,X,X
-0.049785999999999997,X,X
-0.049785000000000003,X,X
-0.049784000000000002,h05,h00
-0.049783000000000001,h05,h00
-0.049782,h05,h00
-0.049780999999999999,h05,h00
-0.049779999999999998,h05,h00
-0.049778999999999997,h05,h00
-0.049778000000000003,h05,h00
-0.049777000000000002,h05,h00
-0.049776000000000001,h05,h00
-0.049775,h05,h00
-0.049773999999999999,h05,h00
-0.049772999999999998,h05,h00
-0.049771999999999997,h05,h00
-0.049771000000000003,h05,h00
-0.049770000000000002,h05,h00
-0.049769000000000001,h05,h00
-0.049768,h05,h00
-0.049766999999999999,h05,h00
-0.049765999999999998,h05,h00
-0.049764999999999997,h05,h00
-0.049764000000000003,h05,h00
-0.049763000000000002,h05,h00
-0.049762000000000001,h05,h00
-0.049761,h05,h00
-0.049759999999999999,h05,h00
-0.049758999999999998,h05,h00
-0.049757999999999997,h05,h00
-0.049757000000000003,h05,h00
-0.049756000000000002,h05,h00
-0.049755000000000001,h05,h00
-0.049754,h05,h00
-0.049752999999999999,h05,h00
-0.049751999999999998,h05,h00
-0.049750999999999997,h05,h00
-0.049750000000000003,h05,h00
-0.049749000000000002,h05,h00
-0.049748000000000001,h05,h00
-0.049747,h05,h00
-0.049745999999999999,h05,h00
-0.049744999999999998,h05,h00
-0.049743999999999997,h05,h00
-0.049743000000000002,h05,h00
-0.049742000000000001,h05,h00
-0.049741,h05,h00
-0.049739999999999999,h05,h00
-0.049738999999999998,h05,h00
-0.049737999999999997,h05,h00
-0.049737000000000003,h05,h00
-0.049736000000000002,h05,h00
-0.049735000000000001,h05,h00
-0.049734,h05,h00
-0.049732999999999999,h05,h00
-0.049731999999999998,h05,h00
-0.049730999999999997,h05,h00
-0.049730000000000003,h05,h00
-0.049729000000000002,h05,h00
-0.049728000000000001,h05,h00
-0.049727,h05,h00
-0.049725999999999999,h05,h00
-0.049724999999999998,h05,h00
-0.049723999999999997,h05,h00
-0.049723000000000003,h05,h00
-0.049722000000000002,h05,h00
-0.049721000000000001,h05,h00
-0.04972,h05,h00
-0.049718999999999999,h05,h00
-0.049717999999999998,h05,h00
-0.049716999999999997,h05,h00
-0.049716000000000003,h05,h00
-0.049715000000000002,h05,h00
-0.049714000000000001,h05,h00
-0.049713,h05,h00
-0.049711999999999999,h05,h00
-0.049710999999999998,hFF,h03
-0.049709999999999997,hFF,h03
-0.049709000000000003,hFF,h03
-0.049708000000000002,hFF,h03
-0.049707000000000001,hFF,h03
-0.049706,hFF,h03
-0.049704999999999999,hFF,h03
-0.049703999999999998,hFF,h03
-0.049702999999999997,hFF,h03
-0.049702000000000003,hFF,h03
-0.049701000000000002,hFF,h03
-0.049700000000000001,hFF,h03
-0.049699,hFF,h03
-0.049697999999999999,hFF,h03
-0.049696999999999998,hFF,h03
-0.049695999999999997,hFF,h03
-0.049695000000000003,hFF,h03
-0.049694000000000002,hFF,h03
-0.049693000000000001,hFF,h03
-0.049692,hFF,h03
-0.049690999999999999,hFF,h03
-0.049689999999999998,hFF,h03
-0.049688999999999997,hFF,h03
-0.049688000000000003,hFF,h03
-0.049687000000000002,hFF,h03
-0.049686000000000001,hFF,h03
-0.049685,hFF,h03
-0.049683999999999999,hFF,h03
-0.049682999999999998,hFF,h03
-0.049681999999999997,hFF,h03
-0.049681000000000003,hFF,h03
-0.049680000000000002,hFF,h03
-0.049679000000000001,hFF,h03
-0.049678,hFF,h03
-0.049676999999999999,hFF,h03
-0.049675999999999998,hFF,h03
-0.049674999999999997,hFF,h03
-0.049674000000000003,hFF,h03
-0.049673000000000002,hFF,h03
-0.049672000000000001,hFF,h03
-0.049671,hFF,h03
-0.049669999999999999,hFF,h03
-0.049668999999999998,hFF,h03
-0.049667999999999997,hFF,h03
-0.049667000000000003,hFF,h03
-0.049666000000000002,hFF,h03
-0.049665000000000001,hFF,h03
-0.049664,hFF,h03
-0.049662999999999999,hFF,h03
-0.049661999999999998,hFF,h03
-0.049660999999999997,hFF,h03
-0.049660000000000003,X,X
-0.049659000000000002,X,X
-0.049658000000000001,X,X
-0.049657,X,X
-0.049655999999999999,X,X
-0.049654999999999998,X,X
-0.049653999999999997,X,X
-0.049653000000000003,X,X
-0.049652000000000002,X,X
-0.049651000000000001,X,X
-0.04965,X,X
-0.049648999999999999,X,X
-0.049647999999999998,X,X
-0.049646999999999997,X,X
-0.049646000000000003,h05,h00
-0.049645000000000002,h05,h00
-0.049644000000000001,h05,h00
-0.049643,h05,h00
-0.049641999999999999,h05,h00
-0.049640999999999998,h05,h00
-0.049639999999999997,h05,h00
-0.049639000000000003,h05,h00
-0.049638000000000002,h05,h00
-0.049637000000000001,h05,h00
-0.049636,h05,h00
-0.049634999999999999,h05,h00
-0.049633999999999998,h05,h00
-0.049632999999999997,h05,h00
-0.049632000000000003,h05,h00
-0.049631000000000002,h05,h00
-0.049630000000000001,h05,h00
-0.049629,h05,h00
-0.049627999999999999,h05,h00
-0.049626999999999998,h05,h00
-0.049626000000000003,h05,h00
-0.049625000000000002,h05,h00
-0.049624000000000001,h05,h00
-0.049623,h05,h00
-0.049621999999999999,h05,h00
-0.049620999999999998,h05,h00
